item_cond,list,item,condition,numeral,same_different,num_char,CL1tone,CL1,N1,CL2tone,CL2,N2,phrase,audio,position1,position1N,position2,position2N,target_position
13b,1,13,b,yi,different,一,1,双,筷子,4,件,衬衣,一双筷子,13_ab_1.wav,057_kuaizi.jpg,筷子,062_chenshan.jpg,衬衣,1
14c,1,14,c,liang,different,两,2,条,河,3,本,书,两条河,14_ab_2.wav,040_he_liang.jpg,河,102_shu_liang.jpg,书,1
15a,1,15,a,yi,same,一,1,只,猫,3,把,大提琴,一只猫,15_ab_1.wav,098_datiqin.jpg,大提琴,043_mao.jpg,猫,2
16c,1,16,c,liang,different,两,2,幅,画,3,卷,胶带,两幅画,16_ab_2.wav,065_jiaodai_liang.jpg,胶带,010_hua2_liang.jpg,画,2
17d,1,17,d,liang,same,两,1,支,毛笔,4,副,眼镜,两支毛笔,17_ab_2.wav,079_maobi01_liang.jpg,毛笔,090_yanjing_liang.jpg,眼镜,1
18d,1,18,d,liang,same,两,2,台,咖啡机,4,架,望远镜,两台咖啡机,18_ab_2.wav,ex13_kafeiji_liang.jpg,咖啡机,ex10_wangyuanjing_liang.jpg,望远镜,1
19c,1,19,c,liang,different,两,1,只,鸟,3,把,勺,两只鸟,19_ab_2.wav,080_shaozi_liang.jpg,勺,051_niao_liang.jpg,鸟,2
20d,1,20,d,liang,same,两,2,头,狮子,4,个,垃圾桶,两头狮子,20_ab_2.wav,103_lajitong01_liang.jpg,垃圾桶,052_shizi_liang.jpg,狮子,2
21d,1,21,d,liang,same,两,1,棵,树,4,架,飞机,两棵树,21_ab_2.wav,025_shu_liang.jpg,树,085_feiji_liang.jpg,飞机,1
22a,1,22,a,yi,same,一,2,条,裤子,3,顶,帽子,一条裤子,22_ab_1.wav,026_kuzi.jpg,裤子,061_maozi.jpg,帽子,1
23b,1,23,b,yi,different,一,1,只,兔子,4,块,蛋糕,一块蛋糕,23_b_1.wav,041_tuzi.jpg,兔子,106_dangao.jpg,蛋糕,2
24d,1,24,d,liang,same,两,2,条,领带,4,件,背心,两件背心,24_b_2.wav,058_lingdai_liang.jpg,领带,093_beixin_liang.jpg,背心,2
25d,1,25,d,liang,same,两,1,只,鸵鸟,4,辆,救护车,两辆救护车,25_b_2.wav,076_jiuhuche_liang.jpg,救护车,ex07_tuoniao_liang.jpg,鸵鸟,1
26d,1,26,d,liang,same,两,2,条,龙,4,件,大衣,两件大衣,26_b_2.wav,078_waitao_liang.jpg,大衣,034_long_liang.jpg,龙,1
27a,1,27,a,yi,same,一,1,颗,草莓,3,把,瑞士军刀,一把瑞士军刀,27_a_1.wav,017_caomei.jpg,草莓,111_ruishijundao.jpg,瑞士军刀,2
28a,1,28,a,yi,same,一,2,条,路,3,把,钳子,一把钳子,28_a_1.wav,028_lu.jpg,路,084_qianzi.jpg,钳子,2
29a,1,29,a,yi,same,一,1,支,长笛,3,顶,王冠,一顶王冠,29_a_1.wav,100_wangguan.jpg,王冠,053_dizi.jpg,长笛,1
30b,1,30,b,yi,different,一,2,头,牛,4,辆,坦克,一辆坦克,30_b_1.wav,105_tanke.jpg,坦克,042_niu.jpg,牛,1
31c,1,31,c,liang,different,两,1,封,信,3,卷,卫生纸,两卷卫生纸,31_a_2.wav,001_xin_liang.jpg,信,077_weishengzhi_liang.jpg,卫生纸,2
32c,1,32,c,liang,different,两,2,条,蛇,3,把,刀,两把刀,32_a_2.wav,038_she_liang.jpg,蛇,067_dao_liang.jpg,刀,2
33a,1,33,a,yi,same,一,1,颗,星,3,把,剑,一把剑,33_a_1.wav,118_jian.jpg,剑,021_xingxing.jpg,星,1
34c,1,34,c,liang,different,两,2,条,裙子,3,把,梳子,两把梳子,34_a_2.wav,ex03_shuzi_liang.jpg,梳子,019_qunzi_liang.jpg,裙子,1
35b,1,35,b,yi,different,一,1,张,照片,4,对,耳环,一对耳环,35_b_1.wav,029_zhaopian.jpg,照片,068_erhuan.jpg,耳环,2
36b,1,36,b,yi,different,一,2,条,围巾,4,件,毛衣,一件毛衣,36_b_1.wav,014_weijin.jpg,围巾,108_maoyi.jpg,毛衣,2
37a,1,37,a,yi,same,一,1,根,针,3,把,锤子,一把锤子,37_a_1.wav,094_chuizi.jpg,锤子,055_zhen.jpg,针,1
38c,1,38,c,liang,different,两,2,台,洗衣机,3,把,凳子,两把凳子,38_a_2.wav,091_dengzi_liang.jpg,凳子,004_xiyiji_liang.jpg,洗衣机,1
39b,1,39,b,yi,different,一,1,张,纸,4,个,枕头,一个枕头,39_b_1.wav,037_zhi.jpg,纸,101_zhentou.jpg,枕头,2
40d,1,40,d,liang,same,两,2,台,显微镜,4,辆,自行车,两辆自行车,40_b_2.wav,ex12_xianweijing_liang.jpg,显微镜,ex14_zixingche_liang.jpg,自行车,2
41b,1,41,b,yi,different,一,1,张,桌子,4,扇,门,一扇门,41_b_1.wav,097_men.jpg,门,039_zhuozi.jpg,桌子,1
42b,1,42,b,yi,different,一,2,条,鱼,4,束,花,一束花,42_b_1.wav,092_huashu.jpg,花,012_yu.jpg,鱼,1
43d,1,43,d,liang,same,两,1,颗,子弹,4,个,头盔,两个头盔,43_b_2.wav,035_zidan02_liang.jpg,子弹,107_toukui2_liang.jpg,头盔,2
44c,1,44,c,liang,different,两,2,头,猪,3,把,螺丝刀,两把螺丝刀,44_a_2.wav,050_zhu_liang.jpg,猪,ex01_luosidao_liang.jpg,螺丝刀,2
